,source,edge,target
0,networks,play,important  lives
1,recent  people,expanded,functions
3,Traditionally  determining,done,network
6,evaluation,turns,social  closeness
8,CBR  process,reasoning,aware recommendation systems
9,CBR,requires,based  retrieval
12,massive history which,handle massive,reasoning  cloud
18,system,described in,171
19,system,consists of,based reasoning engine
21,layer,uses,social closeness information
23,engine,calculates,back cloud layer
25,master which,connects to,server results
27,case,consists of,optional problem solution
30,where  node,applied to,one  user
31,MapReduce,used,pairwise relationship weight
33,cycle,has,four
35,real  solution,map,new target case
37,solution,adapted to,target problem
39,social  networks,constructed for,e.g. application biology
40,networks,enable,remote  workflows
42,specific Mersenne Prime Search,initiated in,late  1990s
43,where  users,used in,accountability
45,users,earn,resources
46,Network BOINC,aims,different  applications
48,architecture,presented in,social Facebook 76
49,Methods,profile,application information
51,prototype,uses,distributed Web infrastructure
54,e.g. Facebook applications,are scalable,Amazon Web Services
55,e.g. Facebook applications,hosted by,Amazon Web Services
56,Today  organizations,use,Facebook authentication
57,mashups,combine,also  events
60,often cloud computing services,argues,general cloud systems
61,often  services,follow,SaaS  model
62,also Mashup platforms,argues,IBM Mashup Center
63,Mashup platforms,rely on,cloud computing systems
68,Make Call Svc,uses,Svc
70,system,supports,eventdriven mashups
71,new Mashup that,has,mashup deployment
72,two deployer that,consists of,mashups
73,mashup,created,graphical XML file
74,mashup,deployed into,PaaS Mashup approach
75,primitive  that,supports,different  service
76,that,allows,the
77,Java Message which,uses,asynchronous  communication
79,component,sends,messages
82,tolerance,tested on,VMware
83,fault tolerance,provided,transparently  VMM
84,secondary,run on distinct,execution
85,secondary,continues,execution
